"YEAR_MONTH","SFDC_ACCOUNT_ID","SWIMLANE_MAP","AGE_IN_MONTHS","SUBSCRIBED_ROUTER_COUNT","TERM_MAP","CHURNED_ACCOUNT_FLAG","LOGIN_COUNT","TOTAL_MINUTES","Account_NCM_Permissions","Account_Subscription_Change_License","Account_Subscriptions","Dashboard_Clients_Tab","Devices_Remote_Connect_Connect_to_Device_UI","Devices_Subnav_Network_Interfaces","Devices_Interfaces_Interface_Details","Devices_Toggle_Image","Footer_Contact_Cradlepoint_Link","Footer_Knowledge_Base_Link","Groups_Add","Groups_Commands_Menu","Groups_Configuration_Edit","Groups_Dashboard","Groups_Firmware_Menu","Groups_Group_Data_Usage","Groups_Settings","Groups_Refresh_Button","Notifications","Help_Panel_Button","NetCloud_Perimeter","Network_Interfaces_Commands_Menu","Network_Interfaces_Export_Menu","Network_Interfaces_Filter_All","Reports_Report_Type_Data_Usage","Reports_Report_Type_Signal_Quality","Reports_Run_Report_Button","Routers_Commands_Ping","Routers_Commands_Reboot","Routers_Commands_Restore_to_Defaults","Routers_Commands_Speed_Test","Routers_Commands_Unregister","Routers_Commands_Menu","Routers_Configuration_Edit","Routers_Configuration_Resume_Updates","Routers_Configuration_Summary","Routers_Configuration_Menu","Routers_Device_Dashboard_Link","Routers_Firmware_Retry_Upgrade","Routers_Move","Routers_NetCloud_OS_Menu","Routers_Remote_Connect_Console","Routers_Remote_Connect_Menu","Scheduler_Subnav_Schedules","Scheduler_Tasks_Add","Scheduler_Tasks_Edit","Churn_Probability"
2021-01-01,"0015000000xPAoLAAW","001100",116,1270,"110",0,246,1529,2,0,0,0,54,48,0,13,0,0,0,0,0,0,0,0,0,0,1,0,1,54,0,0,0,0,0,0,1,0,0,0,8,2,1,108,162,56,1,12,3,1,53,0,0,0,-9.68951481550295e-18
2021-02-01,"0013800001GN6pPAAT","110000",62,504,"100",0,28,87,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,2,0,0,0,-6.80878964320897e-18
2021-02-01,"00138000015tDijAAE","100000",102,4,"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409976480656896
2021-02-01,"00138000019uTIxAAM","000100",635,3439,"001",0,141,1138,2,0,2,5,0,6,0,0,0,0,0,0,0,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,1,0,0,2,4,71,8,0,156,24,3,45,6,12,12,0,0,0,-1.04289406971381e-17
2021-02-01,"0015000000Re5dvAAB","111100",685,2322,"111",0,813,3789,43,0,2,8,117,16,4,16,0,0,17,8,38,33,16,0,3,17,41,1,107,3,0,0,0,0,0,2,25,0,5,3,74,67,16,26,238,274,8,45,41,7,144,0,0,0,-9.04007771418414e-18
2020-01-01,"0015000000d2OQgAAM","111000",672,1443,"110",0,610,4309,13,0,5,24,74,60,0,0,2,0,0,0,0,2,0,1,0,0,12,4,7,3,3,2,1,0,1,6,53,0,85,0,234,209,79,10,486,443,1,255,4,0,83,1,0,0,-8.24318911740729e-18
2020-01-01,"00138000015tf2hAAA","111100",659,7006,"000",0,362,3534,16,0,6,2,16,21,0,0,0,0,4,0,6,3,1,0,1,0,6,0,1,9,0,0,0,0,0,0,11,0,0,1,36,39,17,2,106,28,5,357,16,5,30,0,0,0,-1.02207738800208e-17
2020-04-01,"0015000000zpyEGAAY","111100",649,1065,"111",0,807,5382,10,0,17,0,9,24,1,21,0,0,12,1,12,1,27,0,0,15,10,3,5,4,13,0,0,0,0,12,84,1,3,0,136,264,8,51,496,505,0,47,4,203,595,0,1,0,-9.08995101411847e-18
2021-01-01,"0015000000qarBPAAY","111000",641,901,"110",0,121,458,0,0,0,1,8,0,6,0,0,0,3,1,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,18,12,23,6,44,7,1,42,8,0,12,0,0,0,-9.83262950227104e-18
2020-01-01,"0015000000hWpEoAAK","111100",656,2246,"110",0,460,2974,1,0,0,33,39,5,0,0,1,0,9,3,18,50,4,0,2,0,10,1,32,0,0,0,1,0,1,0,10,0,0,1,34,31,2,5,85,78,1,126,4,55,115,0,0,0,-9.18861341181465e-18
2021-06-01,"0015000000erxT6AAI","001000",661,1590,"110",0,436,1947,0,1,4,0,0,10,0,3,0,0,2,0,1,7,3,0,1,0,5,0,1,0,8,0,0,0,0,1,8,1,0,0,11,6,26,1,36,291,5,266,6,0,2,0,0,0,-9.67650438943313e-18
2020-12-01,"0015000000sDmNIAA0","001100",671,992,"000",0,276,1954,4,0,1,3,16,5,1,1,0,0,11,7,64,18,6,1,9,3,9,0,22,0,0,0,0,0,0,0,5,9,0,0,29,49,36,3,217,263,8,66,23,1,19,0,0,0,-9.1777713900898e-18
2020-04-01,"00138000018bKtGAAU","001100",613,3673,"111",0,93,567,2,0,0,0,7,0,0,6,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,4,13,0,0,27,83,0,5,2,11,21,0,0,0,-9.99309142379889e-18
2021-02-01,"00138000015t6PJAAY","101100",621,2116,"111",0,337,2687,0,1,1,1,9,12,7,1,0,0,0,0,6,1,0,0,0,0,10,0,3,5,0,0,0,0,0,0,57,0,0,0,57,158,20,8,525,97,2,88,9,1,15,0,0,0,-9.95731275210687e-18
2020-04-01,"0015000000cKQq4AAG","111100",742,5587,"100",0,567,3879,11,0,0,0,0,51,13,0,0,0,7,4,19,10,4,0,7,2,14,0,8,2,0,0,0,0,0,18,49,0,0,3,155,492,18,52,767,244,5,413,32,140,156,0,0,0,-7.96454915907851e-18
2021-02-01,"0015000000OqkyhAAB","111100",725,9617,"111",0,2297,7717,18,0,2,0,43,76,20,21,0,0,11,9,75,47,10,0,2,1,20,5,13,0,1,0,0,0,0,10,43,7,3,96,252,156,87,22,517,635,7,362,37,91,177,0,0,0,-8.75710094716542e-18
2020-11-01,"0015000000LdJeNAAV","110000",725,1294,"111",0,432,3001,1,0,0,0,19,47,0,0,0,1,0,0,0,0,0,0,0,0,2,1,6,0,0,0,0,0,0,3,18,0,373,0,431,11,28,1,78,55,2,10,19,52,123,0,0,0,-9.18102399660725e-18
2020-08-01,"00138000018bKtGAAU","001100",613,3694,"111",0,141,737,3,0,4,1,1,3,0,0,0,0,1,4,11,7,2,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,11,140,0,5,0,1,1,0,0,0,-9.31871767251291e-18
